"id","PARTITION"
"001012",2
"001022",2
"001032",2
"001042",2
"001052",2
"001062",2
"001072",2
"001082",2
"001092",2
"001102",2
"001112",2
"001122",2
"001132",2
"001142",2
"001152",2
"001162",2
"001172",2
"001182",2
"001192",2
"001202",2
"001212",2
"001222",2
"001232",2
"001242",2
"001252",2
"001262",2
"001272",2
"001282",2
"001292",2
"001302",1
"001312",1
"001322",2
"001332",1
"001342",2
"001352",2
"001362",2
"001372",2
"001382",2
"001392",2
"001402",2
"001412",2
"001422",2
"001432",2
"001442",2
"001452",2
"001462",2
"001472",2
"001482",2
"001492",2
"001502",2
"001512",2
"001522",2
"001532",1
"001542",1
"001552",2
"001562",2
"001572",2
"001582",2
"001592",2
